bought_timestamp,uid,pid,p_count
11/23/2018 00:00:00,00234f1417b5b1dc65feb088cf612762,DIAD4VTRTSM2F4YR,146
11/23/2018 00:00:05,00234f1417b5b1dc65feb088cf612762qaq,INKDYVCR6P5Y9JDF,116
11/23/2018 00:00:10,0024c8c4636f633a96e6b032acc179c5,RTRDFFYGTZUBKJTS,145
11/23/2018 00:00:15,0024c8c4636f633a96e6b032acc179c5qaq,RTRD6FYYWFHEYJYE,120
11/23/2018 00:00:20,002810df1681c552e4fc641cd1486e7f,RTRD38494HWZVMAK,112
11/23/2018 00:00:25,002810df1681c552e4fc641cd1486e7fqaq,RTRDFFYGJ4GNRSHQ,143
11/23/2018 00:00:30,002cae16ffce99194b37233ae182f62f,RTRDFFYGKJAXPUUG,115
11/23/2018 00:00:35,002cae16ffce99194b37233ae182f62fqaq,RTRDFFYGM2TEWVCC,148
11/23/2018 00:00:40,00371f6f8a517e4bcb6f8982ff46c758,RTRD7HN3JJYF6WN2,149
11/23/2018 00:00:45,00371f6f8a517e4bcb6f8982ff46c758qaq,ABQEJ7YQTNQGMXZV,119
11/23/2018 00:00:50,003aebcdcfd3d30bfaec28207d8814bb,AFGEFM64DHDFU7A4,149
11/23/2018 00:00:55,003aebcdcfd3d30bfaec28207d8814bbqaq,AFGEFM63KZJ577GG,143
11/23/2018 00:01:00,003fccc2bd5cfb835f14192710eb4990,AFGEGF4DTH3GCFYD,144
11/23/2018 00:01:05,003fccc2bd5cfb835f14192710eb4990qaq,AFGEFJSDPDENNGTZ,112
11/23/2018 00:01:10,00610b5557d458369d1f9a31cf81850f,AFGEFM63YQH4WHRH,119
11/23/2018 00:01:15,00610b5557d458369d1f9a31cf81850fqaq,AFGEFM64Z5PHJHYR,118
11/23/2018 00:01:20,0072836d8c9195a016594f048b1f2350,AFGEFM64DHQYDJPT,119
11/23/2018 00:01:25,0072836d8c9195a016594f048b1f2350qaq,AFGEFJSH59XSEMVH,139
11/23/2018 00:01:30,00863fe42684b2bfd7c46d9cae5ad538,AFGEFJSNF4QCGMXZ,114
11/23/2018 00:01:35,00863fe42684b2bfd7c46d9cae5ad538qaq,AFGEFJSDHHYRHQ25,114
11/23/2018 00:01:40,00a6a13741e3f6c50db714cf669067b2,AFGEFM64GSRSURBU,131
11/23/2018 00:01:45,00a6a13741e3f6c50db714cf669067b2qaq,AFGEFJSGM4ZDHS3W,110
11/23/2018 00:01:50,00accc9c92ddeab835f5f1c7d46cbe4b,AFGEFM633J32DSZG,142
11/23/2018 00:01:55,00accc9c92ddeab835f5f1c7d46cbe4bqaq,AFGEFJSDRYS9ETH2,111
11/23/2018 00:02:00,00ad8291c9670b4cb232be8dcfb7b0b1,ACBECFGTEC5DXHPJ,111
11/23/2018 00:02:05,00ad8291c9670b4cb232be8dcfb7b0b1qaq,ACBECFGTZNHSQHXF,118
11/23/2018 00:02:10,00b0c9faa1618cd7751f65f017f93ce8,ACBECFGTQUJ7XHXJ,137
11/23/2018 00:02:15,00b0c9faa1618cd7751f65f017f93ce8qaq,ACBECSFFCM9GJXHK,135
11/23/2018 00:02:20,00b19f664f4de4ff19217cfe21a7b76b,ACBEHDUASPTC7JBZ,138
11/23/2018 00:02:25,00b19f664f4de4ff19217cfe21a7b76bqaq,ACBECFGT74DBRJRT,132
11/23/2018 00:02:30,00bea697b7eb5981240b7f6082547714,ACBECFGTRZCFBJZJ,140
11/23/2018 00:02:35,00bea697b7eb5981240b7f6082547714qaq,ACBECFGTHYEUNK4C,135
11/23/2018 00:02:40,00db9f6ada661f4d7d813a4754d3866f,ACBECFGTGFXBKKYH,114
11/23/2018 00:02:45,00db9f6ada661f4d7d813a4754d3866fqaq,ACBEGYJFC4VBAHCU,116
11/23/2018 00:02:50,00e966a5049a262cfc72e6bbf68b80e7,ACBECT5UXYVB6EHX,148
11/23/2018 00:02:55,00e966a5049a262cfc72e6bbf68b80e7qaq,ACBECT5UP4YDFNXH,118
11/23/2018 00:03:00,00efca9fabf311571b11a0c3f468788e,ACBECFGT6YXGSNU4,118
11/23/2018 00:03:05,00efca9fabf311571b11a0c3f468788eqaq,ACBEHDUB7GGNTQSN,139
11/23/2018 00:03:10,01082b9888708b4894313e924fdd7f63,ACBEAGHHRM5FWHXB,110
11/23/2018 00:03:15,01082b9888708b4894313e924fdd7f63qaq,ACBEAGHHHWJAHA9C,134
11/23/2018 00:03:20,0116af3c6b3a4d4ef4123535e9d98cdf,ACBEAGHHSUKWYKFX,132
11/23/2018 00:03:25,0116af3c6b3a4d4ef4123535e9d98cdfqaq,ACBECFGTH6NHZXYZ,114
11/23/2018 00:03:30,01387686b6750b24f043698836dbc108,ACBEHDU9PG5BSYYM,138
11/23/2018 00:03:35,01387686b6750b24f043698836dbc108qaq,ACBEB3489M4NQZBD,116
11/23/2018 00:03:40,01393b746c678c365829bc8c749c3f50,ACBEA4496CMCQZCU,111
11/23/2018 00:03:45,01393b746c678c365829bc8c749c3f50qaq,ACBEA4498TDPW6JP,115
11/23/2018 00:03:50,0139cef782bf88d08199111ce719ea56,ALCEJNYHRXSGBZGC,114
