pid,registration_timestamp,product_name,retail_price,discounted_price,stock
DIAD4VTRTSM2F4YR,2015-12-31 09:19:31 +0000,Designwallas Festive Pack (Set of 2) Notebook Hard Bound,590,590,161
INKDYVCR6P5Y9JDF,2016-01-03 09:13:59 +0000,Samsung CLP K300A Black Toner Cartridge,3999,3999,183
RTRDFFYGTZUBKJTS,2015-12-01 06:13:00 +0000,Belkin Play Max Modem Router,12499,12499,159
RTRD6FYYWFHEYJYE,2015-12-01 06:13:00 +0000,Netgear N300 Wireless ADSL2+ Modem Router Mobile Broadband Edition (DGN2200M),6400,5450,131
RTRD38494HWZVMAK,2015-12-01 06:13:00 +0000,Asus RT-N13U B1 Wireless N with All-in-One Printer Server Router,2900,2100,176
RTRDFFYGJ4GNRSHQ,2015-12-01 06:13:00 +0000,Netgear WNDR3700 N600 Dual Band Wireless Gigabit Router,9000,6300,120
RTRDFFYGKJAXPUUG,2015-12-01 06:13:00 +0000,Belkin Basic Surf (N300) Router,3099,3099,117
RTRDFFYGM2TEWVCC,2015-12-01 06:13:00 +0000,Belkin Share Modem (N) Router,6249,6249,100
RTRD7HN3JJYF6WN2,2015-12-01 06:13:00 +0000,TP-LINK TL-WR841N 300Mbps Wireless N Router,2500,1118,133
ABQEJ7YQTNQGMXZV,2016-06-12 08:33:38 +0000,Momin Libas AK2414 Kashibo Solid Abaya No,3999,2398,184
AFGEFM64DHDFU7A4,2016-03-03 06:06:42 +0000,Great Eastern Soul Eater - Maka and Soul Notebook,3276,2784,180
AFGEFM63KZJ577GG,2016-03-03 06:06:42 +0000,Moulin Roty Les Petittes Merveilles Nighttime Shadows Castle / 9,4122,3503,164
AFGEGF4DTH3GCFYD,2016-03-03 06:06:42 +0000,Wild Republic Nature Tube Dino,549,549,100
AFGEFJSDPDENNGTZ,2016-03-03 06:06:42 +0000,Nendoroid Wf2014Winter Limited Tomoe Mami Good Smile Company [Japan],8509,7232,136
AFGEFM63YQH4WHRH,2016-03-03 06:06:42 +0000,Discovery Toys MarbleworksÃ¢Â® Marble Run Starter Set By,11435,9719,115
AFGEFM64Z5PHJHYR,2016-03-03 06:06:42 +0000,"Tom and Jerry 9 Piece Play Set with 9 Tom, Jerry, and Spike Figures",4141,3519,178
AFGEFM64DHQYDJPT,2016-03-03 06:06:42 +0000,Beyblade Metal Fusion Battle Tops - Ultimate Meteo L-Drago Assault 85XF,10416,8853,159
AFGEFJSH59XSEMVH,2016-03-03 06:06:42 +0000,"Sentinel Braveact Eren Jaeger ""Attack On Titan"" Model Kit",11431,9716,108
AFGEFJSNF4QCGMXZ,2016-03-03 06:06:42 +0000,Sentinel Mak Furige Model 07,19345,16443,147
AFGEFJSDHHYRHQ25,2016-03-03 06:06:42 +0000,Nendoroid Vocaloid Miku Hatsune 20,8757,7443,199
AFGEFM64GSRSURBU,2016-03-03 06:06:42 +0000,Doctor Who Prisoner Zero Action Figure,5329,4529,112
AFGEFJSGM4ZDHS3W,2016-03-03 06:06:42 +0000,Eaglemoss Publications Dc Superhero Chess & Magazine 55 Doomsday Black Rook,4118,3500,192
AFGEFM633J32DSZG,2016-03-03 06:06:42 +0000,Calico Critters Cottontail Rabbit Twins,4022,3418,165
AFGEFJSDRYS9ETH2,2016-03-03 06:06:42 +0000,Eaglemoss Publications Dc Superhero Chess & Magazine 54 Ocean Master Black Pawn,4262,3622,200
ACBECFGTEC5DXHPJ,2016-01-06 18:20:45 +0000,Navaksha Necktie Men's  Combo,1550,756,139
ACBECFGTZNHSQHXF,2016-01-06 18:20:45 +0000,Navaksha Necktie Men's  Combo,1550,756,175
ACBECFGTQUJ7XHXJ,2016-01-06 18:20:45 +0000,Navaksha Necktie Men's  Combo,1550,756,129
ACBECSFFCM9GJXHK,2015-12-20 08:26:17 +0000,Abhira Top Girl's  Combo,2099,859,173
ACBEHDUASPTC7JBZ,2016-04-03 12:45:50 +0000,Lilliput Top Baby Girl's  Combo,895,805,120
ACBECFGT74DBRJRT,2016-01-06 18:20:45 +0000,Navaksha Necktie Men's  Combo,1550,756,148
ACBECFGTRZCFBJZJ,2016-01-06 18:20:45 +0000,Navaksha Necktie Men's  Combo,1550,756,182
ACBECFGTHYEUNK4C,2016-01-06 18:20:45 +0000,Navaksha Necktie Men's  Combo,1550,756,128
ACBECFGTGFXBKKYH,2016-01-06 18:20:45 +0000,Navaksha Necktie Men's  Combo,1550,756,117
ACBEGYJFC4VBAHCU,2016-04-28 20:11:26 +0000,Be 13 Dress Girl's  Combo,1575,1181,173
ACBECT5UXYVB6EHX,2015-12-20 08:26:17 +0000,Abhira Top Girl's  Combo,2599,999,182
ACBECT5UP4YDFNXH,2015-12-20 08:26:17 +0000,Abhira Top Girl's  Combo,2599,999,108
ACBECFGT6YXGSNU4,2016-01-06 18:20:45 +0000,Navaksha Necktie Men's  Combo,1550,756,104
ACBEHDUB7GGNTQSN,2016-04-03 12:45:50 +0000,Lilliput Top Baby Girl's  Combo,1245,1120,193
ACBEAGHHRM5FWHXB,2015-12-12 11:46:53 +0000,Oye Top Girl's  Combo,799,719,198
ACBEAGHHHWJAHA9C,2015-12-12 11:46:53 +0000,Oye Top Girl's  Combo,799,479,140
ACBEAGHHSUKWYKFX,2015-12-12 11:46:53 +0000,Oye Top Girl's  Combo,799,479,140
ACBECFGTH6NHZXYZ,2016-01-06 18:20:45 +0000,Navaksha Necktie Men's  Combo,1550,756,135
ACBEHDU9PG5BSYYM,2016-04-03 12:45:50 +0000,Lilliput Top Baby Girl's  Combo,895,805,106
ACBEB3489M4NQZBD,2016-01-06 18:20:45 +0000,Elite Neckties Necktie Men's  Combo,1199,399,186
ACBEA4496CMCQZCU,2015-12-12 11:46:53 +0000,lil'posh Top With Skirts Girl's  Combo,1099,659,151
ACBEA4498TDPW6JP,2015-12-12 11:46:53 +0000,lil'posh Top With Skirts Girl's  Combo,1099,659,189
ALCEJNYHRXSGBZGC,2016-06-15 19:32:11 +0000,JTC Platinum Water Dispenser Cover,348,235,130
APREGUT8FZF9ZJDF,2016-03-18 19:41:12 +0000,Tappu Ki Dukaan Cotton Apron Free Size,799,799,156
AQFEBFC6H27WZW58,2015-12-31 09:19:31 +0000,Ocean Free Sponge Aquarium Filter,300,199,144
ACKEGXUFEDHRGGAC,2016-03-18 19:41:12 +0000,Sigmatech - Terracotta Beads Cutter,299,268,185
ARTEGVFDAZVRGHDD,2016-06-09 01:32:04 +0000,DISNEY Art Creation Art Set,199,199,136
ARPEG54NHHJDT9FZ,2016-02-25 09:50:31 +0000,Miracle Retail Bonsai Wild Plant Artificial Plant  with Pot,1499,499,152
ARPEEMCAMGADRCGQ,2016-02-25 09:50:31 +0000,Decore Sources Assorted Artificial Plant  with Pot,1150,515,197
ARPEGDHSXZJSHGSN,2016-05-11 09:26:02 +0000,Bengal Blooms Rose Artificial Plant  with Pot,799,579,193
ARPEFZT4FGYZZHAZ,2016-02-25 09:50:31 +0000,Miracle Retail Bonsai Wild Plant Artificial Plant  with Pot,1299,599,115
ARPEETMFEHACKNA9,2016-02-25 09:50:31 +0000,Decore Sources Assorted Artificial Plant  with Pot,1200,540,199
AVCEGCZ4WYMJJCTE,2016-03-03 22:49:41 +0000,"Speedwav 1 Rear View Mirror Screen, 1 4.3 Screen & Camera-Chevrolet Optra SRV Combo",7200,3498,183
AVCEJCHZ2GVMBVP2,2016-06-10 22:31:19 +0000,"AdroitZ 1 White & Red Two Wheeler Cover, 2 Beige Arm sleeves Combo",629,399,133
AVCEGCGPJTZ3GGWB,2016-03-03 22:49:41 +0000,"Speedwav 1 Car Bumper Sticker, 1 Napoleon Air Freshener Combo",900,568,160
