uid,name,address,postcode,state
63c19e1306bac1e69ec6f07301a854f7,Anchor Inn,"Upper Street, Stratford St Mary, COLCHESTER, Essex",CO7 6LW,Babergh
31c41c49376cceeb6b9490d91785b87c,Angel Inn,"Egremont Street, Glemsford, SUDBURY, Suffolk",CO10 7SA,Babergh
0c4e7646251e7646e152cca7f614ed36,Black Boy Hotel,"7 Market Hill, SUDBURY, Suffolk",CO10 2EA,Babergh
ab9d8c8189980dc5b33552a3ffce8107,Black Horse,"Lower Street, Stratford St Mary, COLCHESTER, Essex",CO7 6JS,Babergh
e320e938f598e16dbd706972c1b155de,Black Lion,"Lion Road, Glemsford, SUDBURY, Suffolk",CO10 7RF,Babergh
54a98e0bb717a0d71da2931e6c7ccd79,Bristol Arms,"Bristol Hill, Shotley, IPSWICH, Suffolk",IP9 1PU,Babergh
9adf33b62f0758602909f5b880d6baa0,Butt and Oyster Inn,"Pin Mill Road, Chelmondiston, IPSWICH, Suffolk",IP9 1JW,Babergh
fce2bd96b35d531a4784bc57e19aca4f,Carriers Arms,"Heath Road, East Bergholt, COLCHESTER, Essex",CO7 6RA,Babergh
acaedb6dd1ff23f1193ed1233f6358d0,Chenery Catering Ltd,"The Bull Inn, The Street, Brantham, MANNINGTREE",CO11 1PN,Babergh
ba4264a63ff817717897b044bbdcbee7,Clubhouse,"The Grange Caravan Park, Straight Road, East Bergholt, COLCHESTER",CO7 6UX,Babergh
fe51638e8c9ab8093bee45fb798b3d71,Cock And Bell,"Hall Street, Long Melford, SUDBURY, Suffolk",CO10 9JR,Babergh
61522a6599f0d18d5aa94740c6aeedca,Crown Inn,"Cattawade Street, Brantham, MANNINGTREE, Essex",CO11 1RE,Babergh
3e72afee86f08e8db9a7bc92c197fa7d,Eight Bells,"Eight Bells Public House, 90-92 Angel Street, Hadleigh, IPSWICH",IP7 5DD,Babergh
9f0045ee465e2d9fbb462b9df73b8d0b,Exclusive Inns Ltd,"The Swan Inn, The Street, Monks Eleigh, IPSWICH",IP7 7AU,Babergh
625b837a1e1633439a1d87e68f59a169,Five Bells Inn,"63 Bures Road, Great Cornard, SUDBURY, Suffolk",CO10 0HU,Babergh
7d43264faf838a9b9513f8de4b3b8f0d,Fox and Hounds,"Church Street, Groton, SUDBURY, Suffolk",CO10 5ED,Babergh
91db815fa5b5f901016c1320ee0efcba,Gardeners Arms,"Manningtree Road, Stutton, IPSWICH, Suffolk",IP9 2TG,Babergh
c9363635b1d3bc04fbf50156a0d6f1ae,Glemsford Social Club,"25-27 Hunts Hill, Glemsford, SUDBURY, Suffolk",CO10 7RP,Babergh
61e46b31d700b03ab54d96280c8f867b,Grover And Allen (J D Wetherspoon),"The Grover and Allen, 67-70 North Street, SUDBURY, Suffolk",CO10 1RF,Babergh
9a99907b1ff6142d7108964f0d045d85,Hare and Hounds,"Harrow Street, Leavenheath, COLCHESTER, Essex",CO6 4PW,Babergh
aa2e905de244291c13592642c3ad3c1d,Hare And Hounds,"Heath Road, East Bergholt, COLCHESTER, Essex",CO7 6RL,Babergh
9363fbb4e82d3bf7c56604122f2abeb4,Kings Head,"132 High Street, Bildeston, IPSWICH, Suffolk",IP7 7ED,Babergh
db83b9237eec0f076ced054c74877719,Kings Head Inn,"115 Bures Road, Great Cornard, SUDBURY, Suffolk",CO10 0JE,Babergh
5510f63b552eba51de803852dd1f8d34,Long Melford & District,"Ex-Service & Social Club, Hall Street, Long Melford, SUDBURY",CO10 9JL,Babergh
025c55296e7b63788739d5ed370723d7,Maldon Grey,"Cats Lane, Great Cornard, SUDBURY, Suffolk",CO10 2RZ,Babergh
0dad330b790e1742af9c14a5d1e5cd4a,North Street Tavern,"North Street, SUDBURY, Suffolk",CO10 1RE,Babergh
7d8c4f554e00771212f7d230d6dee467,Northcroft Social Club Ltd,"Flat 1, Croft Road, SUDBURY, Suffolk",CO10 1JD,Babergh
